fileID,archiveID,setID,hash,modified,newest,entries,attr,size,compressed,method,name,path,volume,photo,dimensions,thumb,comment,warnings
375,375,1,,6/20/25 10:43,3/25/03 12:00,55,0,608770048,608770048,Network,NRMSYM_EN.ISO,https://archive.org/download/nrmsym-en,NRMSYM_EN,https://archive.org/download/nrmsym-en/NRMSYM_EN.jpg,,https://archive.org/download/nrmsym-en/NRMSYM_EN_thumb.jpg,,
407,407,1,,6/20/25 10:45,10/15/98 12:04,6305,0,673693696,673693696,Network,TechNet%20-%209909%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20(X05-01285)(Microsoft%20Corporation)(September%201999).iso,https://archive.org/download/technet-9909-servicepacks-windowsnt40sp41298_x0501285,NT4SP4,https://archive.org/download/technet-9909-servicepacks-windowsnt40sp41298_x0501285/TechNet%20-%209909%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20(X05-01285)(Microsoft%20Corporation)(September%201999).png,,https://archive.org/download/technet-9909-servicepacks-windowsnt40sp41298_x0501285/TechNet%20-%209909%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20(X05-01285)(Microsoft%20Corporation)(September%201999)_thumb.jpg,,
450,450,1,,6/20/25 10:48,10/15/98 12:04,6305,0,673693696,673693696,Network,TechNet%20-%209902%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20(X04-13172)(Microsoft%20Corporation)(February%201999).iso,https://archive.org/download/technet_9902_servicepacks_windowsnt40servicepack41298_x0413172,NT4SP4,https://archive.org/download/technet_9902_servicepacks_windowsnt40servicepack41298_x0413172/TechNet%20-%209902%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20(X04-13172)(Microsoft%20Corporation)(February%201999).png,,https://archive.org/download/technet_9902_servicepacks_windowsnt40servicepack41298_x0413172/TechNet%20-%209902%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20(X04-13172)(Microsoft%20Corporation)(February%201999)_thumb.jpg,,
474,474,1,,6/20/25 10:49,10/15/98 12:04,6316,0,674316288,674316288,Network,TechNet%20-%209906%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20128-bit%20Version%20(X04-85092)(Microsoft%20Corporation)(June%201999).iso,https://archive.org/download/technet_9906_servicepacks_windowsnt40sp41298128bit_x0485092,NT4SP4,https://archive.org/download/technet_9906_servicepacks_windowsnt40sp41298128bit_x0485092/TechNet%20-%209906%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20128-bit%20Version%20(X04-85092)(Microsoft%20Corporation)(June%201999).png,,https://archive.org/download/technet_9906_servicepacks_windowsnt40sp41298128bit_x0485092/TechNet%20-%209906%20-%20Service%20Packs%20-%20Windows%20NT%204.0%20Service%20Pack%204%2012-98%20128-bit%20Version%20(X04-85092)(Microsoft%20Corporation)(June%201999)_thumb.jpg,,
828,828,1,,6/11/18 19:11,1/21/98 7:12,843,0,554039296,554039296,FS,MSTN-CD019-ntoptpak_us.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,ntoptpak_us,MSTN-CD019-ntoptpak_us.png,1465x1462,,,
377,377,1,,6/20/25 10:43,8/15/03 0:36,62,0,141350912,141350912,Network,OFFICE11IFP.ISO,https://archive.org/download/office-11-ifp,OFFICE11,https://archive.org/download/office-11-ifp/OFFICE11IFP.jpg,,https://archive.org/download/office-11-ifp/OFFICE11IFP_thumb.jpg,,
840,840,1,,6/15/18 16:33,8/15/03 0:36,62,0,141658112,141658112,FS,MSTN-CD079-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD079-OFFICE11.png,1431x1476,,,
379,379,1,,6/20/25 10:44,8/15/03 0:04,65,0,82520064,82520064,Network,OFFICE11ONE.ISO,https://archive.org/download/office-11-one,OFFICE11,https://archive.org/download/office-11-one/OFFICE11ONE.jpg,,https://archive.org/download/office-11-one/OFFICE11ONE_thumb.jpg,,
652,652,1,,6/14/18 15:16,8/15/03 0:04,65,0,82827264,82827264,FS,MSTN-CD065-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD065-OFFICE11.png,1431x1476,,,
378,378,1,,6/20/25 10:43,8/14/03 20:38,100,0,180572160,180572160,Network,OFFICE11OLK.ISO,https://archive.org/download/office-11-olk,OFFICE11,https://archive.org/download/office-11-olk/OFFICE11OLK.jpg,,https://archive.org/download/office-11-olk/OFFICE11OLK_thumb.jpg,,
555,555,1,,6/20/25 10:53,8/14/03 20:38,100,0,180572160,180572160,Network,2006-0700.ISO,https://archive.org/download/technetmegadump,OFFICE11,https://archive.org/download/technetmegadump/2006-0700.png,,https://archive.org/download/technetmegadump/2006-0700_thumb.jpg,,
637,637,1,,6/15/18 14:38,8/14/03 20:38,100,0,180879360,180879360,FS,MSTN-CD077-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD077-OFFICE11.png,1431x1476,,,
807,807,1,,4/15/19 19:38,8/14/03 20:38,100,0,180879360,180879360,FS,MSTN-CD267-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD267-OFFICE11.png,1426x1479,,,
617,617,1,,6/14/18 0:07,6/23/03 17:03,102,0,186472448,186472448,FS,MSTN-CD053-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD053-OFFICE11.png,1431x1476,,,
376,376,1,,6/20/25 10:43,8/14/03 23:55,110,0,208900096,208900096,Network,OFFICE11FRP.ISO,https://archive.org/download/office-11-frp,OFFICE11,https://archive.org/download/office-11-frp/OFFICE11FRP.jpg,,https://archive.org/download/office-11-frp/OFFICE11FRP_thumb.jpg,,
785,785,1,,6/14/18 12:32,8/14/03 23:55,110,0,208900096,208900096,FS,MSTN-CD059-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD059-OFFICE11.png,1431x1476,,,
381,381,1,,6/20/25 10:44,8/19/03 2:10,140,0,239593472,239593472,Network,OFFICE11VIS.ISO,https://archive.org/download/office-11-vis,OFFICE11,https://archive.org/download/office-11-vis/OFFICE11VIS.jpg,,https://archive.org/download/office-11-vis/OFFICE11VIS_thumb.jpg,,
678,678,1,,6/14/18 14:45,8/19/03 2:10,140,0,239900672,239900672,FS,MSTN-CD064-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD064-OFFICE11.png,1431x1476,,,
380,380,1,,6/20/25 10:44,8/14/03 23:07,154,0,418568192,418568192,Network,OFFICE11PRO.ISO,https://archive.org/download/office-11-pro,OFFICE11,https://archive.org/download/office-11-pro/OFFICE11PRO.jpg,,https://archive.org/download/office-11-pro/OFFICE11PRO_thumb.jpg,,
723,723,1,,6/14/18 11:30,8/14/03 23:07,154,0,418875392,418875392,FS,MSTN-CD058-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD058-OFFICE11.png,1431x1476,,,
771,771,1,,3/31/19 23:58,12/8/05 1:04,284,0,552859648,552859648,FS,MSTN-CD201-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD201-OFFICE11.png,1543x1504,,,
382,382,1,,6/20/25 10:44,10/31/03 17:00,286,0,543549440,543549440,Network,OFFICE11VISDE.ISO,https://archive.org/download/office-11-visde,OFFICE11,https://archive.org/download/office-11-visde/OFFICE11VISDE.jpg,,https://archive.org/download/office-11-visde/OFFICE11VISDE_thumb.jpg,,
855,855,1,,3/31/19 14:14,7/8/05 5:15,586,0,628365312,628365312,FS,MSTN-CD149-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD149-OFFICE11.png,1543x1504,,,
767,767,1,,3/31/19 16:40,8/3/05 3:02,586,0,635197440,635197440,FS,MSTN-CD158-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD158-OFFICE11.png,1543x1504,,,
536,536,1,,6/20/25 10:52,4/7/06 2:43,680,0,480149504,480149504,Network,2006-0005.03.ISO,https://archive.org/download/technetmegadump,OFFICE11,https://archive.org/download/technetmegadump/2006-0005.03.png,,https://archive.org/download/technetmegadump/2006-0005.03_thumb.jpg,,
757,757,1,,4/1/19 13:42,4/7/06 2:43,680,0,480456704,480456704,FS,MSTN-CD237-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD237-OFFICE11.png,1543x1504,,,
846,846,1,,6/3/19 11:03,6/26/07 2:52,717,0,540112896,540112896,FS,MSTN-CD343-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD343-OFFICE11.png,1426x1479,,,
907,907,1,,4/22/19 17:15,8/29/06 8:43,1094,0,492036096,492036096,FS,MSTN-CD281-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD281-OFFICE11.png,1426x1479,,,
956,956,1,,3/31/19 14:22,7/7/05 9:00,1166,0,565444608,565444608,FS,MSTN-CD150-OFFICE11.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE11,MSTN-CD150-OFFICE11.png,1543x1504,,,
945,945,1,,6/2/19 21:36,10/27/06 16:44,104,0,490551296,490551296,FS,MSTN-CD308-OFFICE12.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE12,MSTN-CD308-OFFICE12.png,1426x1479,,,
883,883,1,,6/2/19 21:41,12/9/06 6:37,242,0,448471040,448471040,FS,MSTN-CD309-Office12.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,Office12,MSTN-CD309-Office12.png,1426x1479,,,
865,865,1,,6/2/19 21:53,11/27/06 1:35,267,0,647886848,647886848,FS,MSTN-CD311-Office12.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,Office12,MSTN-CD311-Office12.png,1426x1479,,,
755,755,1,,6/3/19 9:12,5/1/07 8:34,319,0,575037440,575037440,FS,MSTN-CD331-OFFICE12.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,OFFICE12,MSTN-CD331-OFFICE12.png,1426x1479,,,
832,832,1,,6/2/19 21:47,12/11/06 1:28,355,0,575162368,575162368,FS,MSTN-CD310-Office12.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,Office12,MSTN-CD310-Office12.png,1426x1479,,,
558,558,1,,6/20/25 10:53,5/1/07 11:59,29436,0,5835579392,5835579392,Network,2007-0197.10.ISO,https://archive.org/download/technetmegadump,OFFICE12,https://archive.org/download/technetmegadump/2007-0197.10.png,,https://archive.org/download/technetmegadump/2007-0197.10_thumb.jpg,,
279,279,1,,6/20/25 10:37,11/25/96 16:09,5852,0,668284928,668284928,Network,Microsoft-TechNet-Feb97-Office97Demo.iso,https://archive.org/download/microsoft-technet-feb-97,OFFICE97PRO,https://archive.org/download/microsoft-technet-feb-97/Microsoft-TechNet-Feb97-Office97Demo.jpg,,https://archive.org/download/microsoft-technet-feb-97/Microsoft-TechNet-Feb97-Office97Demo_thumb.jpg,,
